Rank,Description,AttributionSources,a_sets,CumulativeImpact
29,"Table 4-118:  PFC, HFC, SF6, NF3, and N2O Emissions from Electronics Manufacture (MMT CO2 Eq.)",Direct,,99.6
30,Table 3-8:  CH4 Emissions from Stationary Combustion (MMT CO2 Eq.),Direct,residential,99.7
31,"Table 4-64:  Emissions of HFCs, PFCs, SF6, and NF3 from production of Fluorochemicals Other Than HCFC-22 (Metric Tons)",Direct,,99.8
32,Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),Direct,"direct_gasoline, direct_non_road",99.8
33,Table 3-14:  CH4 Emissions from Mobile Combustion (MMT CO2 Eq.),BEA_Detail_Use_SUT,"construction_and_mining, farm_non_road, other_non_road, petroleum_fuels_diesel, petroleum_fuels_gasoline",99.8
34,Table 3-8:  CH4 Emissions from Stationary Combustion (MMT CO2 Eq.),BEA_Detail_Supply,electric_power,99.9
35,"Table 4-106: SF6, HFC-134a, FK 5-1-12 and CO2 Emissions from Magnesium Production and Processing (MMT CO2 Eq.)",BEA_Detail_GrossOutput_IO,,99.9
36,Table 4-132: SF6 and PFC Emissions from Other Product Use (MMT CO2 Eq.),Direct,,99.9
37,Table 3-8:  CH4 Emissions from Stationary Combustion (MMT CO2 Eq.),BEA_Detail_Use_SUT,"fuel_oil, natural_gas_nonmanufacturing",99.9
38,Table 3-9:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),Direct,residential,99.9
39,Table 3-14:  CH4 Emissions from Mobile Combustion (MMT CO2 Eq.),Direct,direct_non_road,99.9
40,Table 3-9:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),BEA_Detail_Use_SUT,"fuel_oil, natural_gas_nonmanufacturing",100.0
41,"Table 4-63:  Emissions of HFCs, PFCs, SF6, and NF3 from production of Fluorochemicals Other Than HCFC-22 (MMT CO2 Eq.)",Direct,,100.0
41,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),USGS_MYB_Lead,lead,100.0
43,Table 4-59: HFC-23 Emissions from HCFC-22 Production (MMT CO2 Eq.),Direct,,100.0
44,Table 4-100:  PFC Emissions from Aluminum Production (MMT CO2 Eq.),Direct,,100.0
45,Table 3-9:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),EIA_MECS_Energy,"coal_manufacturing, ng_manufacturing",100.0
46,Table 3-8:  CH4 Emissions from Stationary Combustion (MMT CO2 Eq.),EIA_MECS_Energy,"coal_manufacturing, ng_manufacturing",100.0
47,Table 5-29: CH4 and N2O Emissions from Field Burning of Agricultural Residues (MMT CO2 Eq.),Direct,,100.0
48,Table 3-49:  N2O Emissions from Petroleum Systems (Metric Tons CO2 Eq.),Direct,,100.0
49,Table 3-68: N2O Emissions from Natural Gas Systems (Metric Tons CO2 Eq.),Direct,,100.0
